name,steam_appid,required_age,legal_notice,platforms,categories,genres,recommendations,achievements,release_date,price,english,developer,publisher
hack_me 2,602890,0,,windows,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing,Indie;Simulation,{'total': 466},10,2017-03-11,5.99,1,EasyWays Team,Indovers Studio
Psychonauts 2,607080,0,© 2021 Microsoft. All rights reserved.,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Steam Cloud;Remote Play Together;Family Sharing,Action;Adventure,{'total': 9038},57,2021-08-24,59.99,1,Double Fine Productions,Xbox Game Studios
Sword Art Online: Hollow Realization Deluxe Edition,607890,0,"©2014 REKI KAWAHARA/PUBLISHED BY KADOKAWA CORPORATION ASCII MEDIA WORKS/SAOII Project<br />
©BANDAI NAMCO Entertainment Inc.",windows,Single-player;Multi-player;PvP;Online PvP;Co-op;Online Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Family Sharing,Action;Adventure;Casual;RPG,{'total': 5515},53,2017-10-27,49.99,1,AQURIA,BANDAI NAMCO Entertainment
Alchemyland,610670,0,,windows;mac;linux,Single-player;Steam Achievements;Steam Trading Cards;Family Sharing,Adventure;Casual;Indie;RPG;Early Access,{'total': 110},7,2017-08-02,0.99,1,azimuth team,azimuth team
CityBattle | Virtual Earth,611020,0,,windows,Multi-player;PvP;Online PvP;Steam Achievements;In-App Purchases,Action;Free to Play;Massively Multiplayer,,6,2018-10-02,0.0,1,LLC RIKOR IMT,LLC RIKOR IMT
One Eyed Kutkh,612170,0,,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Remote Play on TV;Family Sharing,Adventure;Indie,,8,2017-03-30,2.99,1,Baba Yaga Games,Baba Yaga Games
"Love, Money, Rock'n'Roll",615530,0,,windows;mac;linux,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing,Adventure;Casual;Indie,{'total': 3040},18,2022-08-04,9.99,1,Soviet Games,Soviet Games
Hide vs. Seek,616220,0,,windows,Multi-player;PvP;Online PvP,Action;Free to Play;Indie,,0,2017-08-07,0.0,1,Brave Little Studios,Brave Little Studios
Zup! S,617670,0,,windows,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing,Casual;Indie,{'total': 12699},800,2018-11-15,1.99,1,Quiet River,Quiet River
Fluffy Creatures VS The World,619400,0,,windows,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Remote Play Together;Family Sharing,Action;Adventure;Casual;Indie,,3,2017-04-09,0.99,1,Amaterasu Software,Amaterasu Software
Steel Rats™,619700,0,©2018 by Tate Multimedia Sp. z o.o. All rights reserved. Steel Rats logo is a registered Trademark of Tate Multimedia Sp. z o.o.,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards;Remote Play on TV;Family Sharing,Action;Racing,{'total': 282},46,2018-11-07,9.99,1,Tate Multimedia,Tate Multimedia
Hellpoint,628670,0,Developed by Cradle Games and Published by tinyBuild Ⓒ 2023. All rights reserved.,windows;mac;linux,Single-player;Multi-player;PvP;Online PvP;Co-op;Online Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Remote Play on TV;Remote Play Together;Family Sharing,Action;Adventure;Indie;RPG,{'total': 2351},42,2020-07-30,34.99,1,Cradle Games,tinyBuild
Hobo: Tough Life,632300,0,© 2023 Perun Creative,windows;linux,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Family Sharing,Adventure;Indie;RPG;Simulation,{'total': 6696},57,2021-04-12,29.99,1,Perun Creative,Perun Creative
Distrust: Polar Survival,635200,0,,windows;mac,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Family Sharing,Adventure;Indie;Strategy,{'total': 1592},56,2017-08-23,12.99,1,Cheerdealers,Alawar
Stream Service,637310,0,,windows,Single-player;Steam Trading Cards;Steam Cloud;Family Sharing,Casual;Indie;Simulation,,0,2019-08-22,0.99,1,SirGoose,IFreezeNO
Confess My Love,637850,0,Copyright ©2015-2021 LR Studio  All rights reserved.,windows,Single-player;Steam Achievements;Partial Controller Support,Adventure;Free to Play;Indie;RPG,,21,2017-05-27,0.0,1,LR Studio,LR Studio
DEEP SPACE WAIFU,639790,0,,windows,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Family Sharing,Action;Casual;Indie,{'total': 7123},69,2017-05-31,4.99,1,Neko Climax Studios,Neko Climax Studios
OLDTV,643270,0,,windows;mac,Single-player;Steam Achievements,Indie;Free to Play,,48,2017-07-15,0.0,1,Creability,Creability
Trophy Fishing 2,645260,0,,windows,Multi-player;PvP;Online PvP;Steam Achievements;In-App Purchases,Simulation;Sports;Free to Play,,225,2017-07-13,0.0,1,Overgroup,Overgroup
60 Parsecs!,646270,0,,windows;mac,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Family Sharing,Adventure;Casual;Indie;RPG;Simulation;Strategy,{'total': 2588},44,2018-09-18,9.99,1,Robot Gentleman,Robot Gentleman
Rusted Warfare - RTS,647960,0,,windows;mac;linux,Single-player;Multi-player;PvP;Online PvP;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Workshop;Steam Cloud;Family Sharing,Indie;Strategy,{'total': 4158},0,2017-07-14,4.99,1,Corroding Games,Corroding Games
Marie's Room,648390,0,,windows,Single-player;Steam Achievements,Adventure;Casual;Free to Play;Indie,,7,2018-04-13,0.0,1,like Charlie,like Charlie
DOOM VFR,650000,17,"DOOM® VFR © 2017 id Software LLC, a ZeniMax Media company. Bethesda, Bethesda Softworks, ZeniMax and related logos are registered trademarks or trademarks of ZeniMax Media Inc. in the U.S. and/or other countries. DOOM, id, id Software, id Tech and related logos are registered trademarks or trademarks of id Software LLC in the U.S. and/or other countries. All Rights Reserved.",windows,Single-player;Steam Achievements;Tracked Controller Support;VR Only;VR Support;Steam Cloud;Family Sharing,Action,{'total': 2041},15,2017-11-30,14.99,1,id Software,Bethesda Softworks
Star Renegades,651670,0,"© Copyright 2020 Massive Damage Inc.. Developed by Massive Damage Inc.. Published by Raw Fury AB. All Rights Reserved.<br />
<br />
THE ABOVE IS INCORRECT. THIS GAME BELONGS TO THE IMPERIUM.",windows,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Family Sharing,Action;Indie;RPG;Simulation;Strategy,{'total': 2234},44,2020-09-08,24.99,1,"Massive Damage, Inc.",Raw Fury
Red Wake Carnage,656610,0,,windows;mac;linux,Single-player;Multi-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Family Sharing,Action;Indie,{'total': 357},2516,2017-08-31,0.99,1,Racing Bros,ANPA.US
Witch Hunt,661790,0,Witch Hunt © 2018 by Gua. All rights reserved.,windows,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Family Sharing,Action;Adventure;Indie,{'total': 2017},22,2018-09-03,9.99,1,Gua,Gua
MINDNIGHT,667870,0,,windows;mac;linux,Multi-player;PvP;Online PvP;Steam Achievements;In-App Purchases;Stats,Free to Play;Indie;RPG;Strategy,,87,2017-08-04,0.0,1,No Moon,No Moon
